customer_id,snapshot_date,country,orders_last_window,revenue_last_window,recency_days,customer_age_days,predicted_churn_probability,predicted_churn
13185,2011-09-10 12:50:00,United Kingdom,1,71.4,177,177,0.8710626846349844,1
17747,2011-09-10 12:50:00,United Kingdom,1,71.4,22,22,0.8659655747220446,1
15313,2011-09-10 12:50:00,United Kingdom,1,52.0,19,19,0.8561758462592928,1
13841,2011-09-10 12:50:00,United Kingdom,1,85.0,162,162,0.8560820751261152,1
15668,2011-09-10 12:50:00,United Kingdom,1,76.32000000000001,127,127,0.85325245709953,1
13391,2011-09-10 12:50:00,United Kingdom,1,59.8,113,113,0.8417380061873039,1
15098,2011-09-10 12:50:00,United Kingdom,3,39916.5,91,91,0.8412792434551504,1
13120,2011-09-10 12:50:00,United Kingdom,1,30.599999999999998,148,148,0.8371523805881559,1
13147,2011-09-10 12:50:00,United Kingdom,1,118.80000000000001,9,9,0.8357344639577455,1
18013,2011-09-10 12:50:00,United Kingdom,2,187.29000000000002,64,64,0.8295694182579822,1
14351,2011-09-10 12:50:00,United Kingdom,1,51.0,74,74,0.8287151013094428,1
17102,2011-09-10 12:50:00,United Kingdom,1,25.5,171,171,0.8265902626016152,1
13218,2011-09-10 12:50:00,United Kingdom,1,62.63999999999999,36,36,0.8217327923907292,1
16162,2011-09-10 12:50:00,United Kingdom,1,37.4,161,161,0.8178384322811239,1
13302,2011-09-10 12:50:00,United Kingdom,1,63.75,64,436,0.8175448170653986,1
17775,2011-09-10 12:50:00,United Kingdom,1,56.4,164,164,0.8159362720473147,1
16257,2011-09-10 12:50:00,United Kingdom,1,46.95,86,86,0.8134103865386776,1
13682,2011-09-10 12:50:00,United Kingdom,1,59.5,96,96,0.8131255522829183,1
17060,2011-09-10 12:50:00,United Kingdom,1,234.24,175,175,0.8125833191440535,1
17174,2011-09-10 12:50:00,United Kingdom,1,59.9,127,127,0.807574717601911,1
18213,2011-09-10 12:50:00,United Kingdom,1,232.48000000000002,146,146,0.8055703517719703,1
15802,2011-09-10 12:50:00,United Kingdom,1,451.42,52,52,0.8015561205549651,1
16462,2011-09-10 12:50:00,United Kingdom,1,34.0,95,193,0.7994255123447467,1
15414,2011-09-10 12:50:00,United Kingdom,1,36.2,151,151,0.7939705857148924,1
